Date,Open,High,Low,Close,Adj Close,Volume
2021-12-29,172.789993,173.460007,171.929993,172.970001,161.249924,2299500
2021-12-30,173.539993,173.619995,172.229996,172.669998,160.970276,1988900
2021-12-31,172.460007,174.020004,172.110001,173.710007,161.939819,2914900
2022-01-03,172.199997,173.190002,170.570007,172.979996,161.259262,5488900
2022-01-04,172.660004,174.449997,172.199997,173.229996,161.492325,4717600
2022-01-05,173.360001,175.360001,173.229996,173.820007,162.042358,6564600
2022-01-06,173.910004,175.600006,173.229996,173.860001,162.079636,4288700
2022-01-07,174.089996,174.690002,172.610001,174.080002,162.284729,4916000
2022-01-10,174.440002,175.839996,173.619995,174.169998,162.368622,5055900
2022-01-11,173.679993,174.229996,171.619995,174.089996,162.294052,6452300
2022-01-12,173.899994,174.330002,172.949997,173.899994,162.116913,5268000
2022-01-13,173.710007,174.690002,173.240005,174.179993,162.377914,4310300
2022-01-14,174.570007,175.940002,173.399994,175.639999,163.739029,4474500
2022-01-18,173.619995,174.759995,173.149994,173.960007,162.172897,5789500
2022-01-19,173.960007,175.960007,173.570007,175.210007,163.338165,6424500
2022-01-20,175.410004,176.880005,173.839996,173.940002,162.154221,6284200
2022-01-21,175.330002,177.240005,174.110001,174.220001,162.415222,6753200
2022-01-24,175.490005,176.500000,168.960007,173.330002,161.585556,9263900
2022-01-25,172.080002,172.479996,169.740005,171.339996,159.730362,6536900
2022-01-26,169.360001,171.809998,166.449997,169.529999,158.043030,6841800
2022-01-27,170.779999,173.279999,168.779999,169.369995,157.893875,6543500
2022-01-28,168.509995,172.729996,167.210007,172.669998,160.970276,5796000
2022-01-31,170.770004,174.110001,170.589996,173.520004,161.762680,5908000
2022-02-01,173.149994,173.429993,169.559998,172.339996,160.662598,5952700
